model,row_index,true_label,predicted_label,model_score,original_text
Naive Bayes (TF-IDF),25,0,1,0.5016728782684807,brief existence sex pistol make film controversial groundbreaking english punk band breakup happen bear however start listen album never mind bs here sex pistol teenager quickly become big fan didnt see great rock n roll swindle saw couple time year think pretty good certainly not great pretty good even could remember bit didnt see connect see third time nearly three year second didnt care much im not even sure find good first place cant remember nowthis film mockumentary sex pistol manager malcolm mclaren tell side story band member guitarist steve jones credit crook drummer paul cook credit teamaker bassist sid vicious credit gimmick john lydon aka johnny rotten credit collaborator mclaren claim create band even genre punk rock scam make money tell much story helen wellingtonlloyd aka helen troy various place go together basically hodgepodge mclaren talk pistols song live footage band fictional scene often silly strange one several cartoon sequence etc put together one film tell pistols manager side story bizarre wayit well prove mclaren liar know many already point include band member not drive force band didnt create nor invent punk rock sex pistols werent even first punk band though unique band member one make band filth fury much believable film band julien temple make film tell point view band member contradict mclarens claim however dishonesty great rock n roll swindle not big problem actually entertain use think certain extent would able overlook like obviously use able third view apart sex pistol song live footage least one mildly amuse cartoon sequence pretty dull found kill bambi song mildly amuse first get tire quicklyis mockumentary worth watch sex pistol fan seem good number fan would say not learn true story shortlived groundbreaking punk band entertainment opinion great rock n roll swindle first time watch couldnt remember thing mclaren say time saw second time aware pistol manager use film imply could still barely remember anything heard say obviously aspect film find impressive third view definitely remember thing mclaren say still wasnt clear like film guess word not memorable probably way theyre present youre pistol fan guess wouldnt hurt give swindle try part incoherent bore mess try funny fails
Naive Bayes (TF-IDF),37,1,0,0.4665375383212026,never see original death wish book either death wish film however death wish interested film wellknown vigilante paul kersey try visit friend charlie visit couple minute die charlie didnt pay protection huge infamous underground gang lead manny franker altercation time jail kersey learn franker fight jail agenda make new york city hellfire also influence send henchman set crime every time everywhere everyday due chance give insp richard shriker know profile well like much kersey decide set war franker gangi accept death wish iii one straightedge extreme violence action film see past movie use straightedge way tell story no ponderous storytelling less unnecessary scene one merit movie next issue violence use pervasively film believe many viewer could like action scene death wish iii show crude extreme blast action every minute movie especially climax scene movie death manny franker think maximum action scenefor cast think everyone good get role charles bronson make everybody believe still great paul kersey didnt look like big old cat great vigilante gavan oherlihy also job good main villain role movie make look nasty look like big bad guy however role kathryn davis movie pathetic didnt look like main character think appear two three scene kill franker follower make heat paul kersey could role appearfor comment straightedge style extreme violence make movie great extreme action film fan fastpaced back forth style make movie interested watch nevertheless movie silly scene plot hole first scene inspshriker face paul kersey first time corny attack favor guy want help similar punch guy try borrow money haha thats like joke although liked plot twist inspshriker show later help kersey first shriker look like villain much due act kersey movie go climax everything clear no hidden agenda kerseyin another case end scene movie set back stumble everyones feel end easy frankers gang member look unbelievable found franker dead girlfriend follower decide escape finally inspshriker allow paul kersey fly town police catch think style end scene could find many cannon film movie dislike itfor summary ok death wish due explanation type first cast action good extreme even scene dont like straightedge extreme violence could best short description movie
Naive Bayes (TF-IDF),50,0,1,0.5929183054822988,spoiler prc quickie j carrol naish playing dr igor markoff who not really dr karkoff impostor take identity back europe real dr karkoff affair drmarkoffs wife lead murder real drmarkoff wife lenore infected acromegaly make look like elephant man sister do no one would ever want look could keep lenore disturbed lenore later get even insane husband kill nut fake dr markoff spot patricia lawrence wanda mckay one evening theater father tony lawernce ralph morgan world famous pianist give concert enchant lovely patricia who dead ringer dead wife lenore dr markoff becomes obsess go extreme length marry even though shes want nothing himafter get ridicule effort get patricia fall love send flower syrupy love note attach much five time daytony go see crazed dr mankoff tell stop annoy daughter tony end get knock good doctor inject dose acromegaly turn somewhat unsightly fellow hand body swell not able play beloved piano tony tell doctor dr adamssam flint one cure dreadful disease non dr markoff person give movie usual subplots dr markoff assistant maxinetala birell who also love jealous phony doctor make play patricia there also dr markoff hulk butler glenn strange like pet gorilla big clumsy oaf cant even subdue maxine who less half size strange end get bop head knock cold patricias boyfriend bobby blake terry frost gorilla turn big hairy wimp also try maxine chase away lock back cage pet dog ace dr markoff desperation get patricia marry promise cure dad father break chain ensue struggle end shoot markoff dead gun happy end whole mess maxine know much markoff cure acromegaly inject tony secret serum make good new movie end like start tony play piano pack cheer house local theater
Naive Bayes (TF-IDF),60,0,1,0.6307348606886402,richard dreyfus indeed flick rather small part not obsess filmmaker hes group business manageraccountant even box describes film inaccurately no erotic scene sondra locke advertise unless one use term erotic quite loosely would not consider viewing film without richard dreyfus major character might however realize famous anthem leonard cohens suzanne artistic influence brief recitation line end james joyce ulysses interest visual reference end ingmar bergman seventh seal find poor attempt meld symbolic element mood immortalize film like last year marianbad un chien andalou like idea eccentric artistic troupe many superior film range bye bye brasil cecil b demented
Naive Bayes (TF-IDF),62,0,1,0.8345797166648297,not read pat barker union street see film would like unfortuntately not case actually kind film well make no way want say otherwise adaptation fail every anglethe harrow novel reality live northern england workingclass area grab hold heartstrings refuse let go week finish put tear repulsion shock anger sympathy misery read woman union street excellent novel time felt could not read novel simply couldnt put depress yes utterly grippingthe film oh dear hollywood take barker truth reality shower layer sweet ice sugar top beautiful film inspire soundtrack excellent performance tale hope romanceyes adaptation union streetnothe woman union street story condense fondas character story touch many discard accept barker tale sensitive issue horrific mass viewing film around lead protagonist isnt practical content not main issue essence real gut novel lose darkness rain broken window cover cardboard graphically describe stench poverty replace sunshine pretty house twinkle williams scoreif enjoy film positivity hope face reality advise hesitate read book without first prepare something like schindlers listbut without happy end
Naive Bayes (TF-IDF),63,0,1,0.8005395136596579,lillian hellman play adapt dashiell hammett help hellman become curious project come gritty warner bros paul lukas reprise broadway role win best actor oscar play antinazi german underground leader fight fascist drag american wife three child europe find refuge state via mexico border settle washington wife wealthy mother brother though boarder reside manor immediately suspicious newcomer spend awful lot time german embassy playing poker seem take forever drama find focus realize heart material wise honest direct refugee teach clueless headinthesand americans world suddenly change seem little patronizingthe viewer quite literally put relative place lecture lukas several speech thirdact undoubtedly academy award yet much picture seem little enter exit enter exit spouse bette davis enunciate like nobody else work wide eye good advantage role doesnt allow much color child divergent accent alternately humorous annoy geraldine fitzgerald nothing role putupon wife disgruntle texture brings part seem entirely wrong intent tastefully tactfully show u wwiiera man may german doesnt make nazi sympathizer get first minute rest tasteful tactful movie make exposition defensive confrontation ultimately compassion heady mix instead rather dryeyed inert
Naive Bayes (TF-IDF),64,1,0,0.4637051664916129,actually video camera effect effect rather good one u dont know much direct film film fact well original great fun watch make tv doesnt need follow rule find hard watch number kill first girl disturb time rout judd nelson get away viewer side hope one day see rd cabin lake doubt watching film understand real movie make sort like film within film judd one scariest villains ever he realistic doesnt mindlessly chop people like horror
Naive Bayes (TF-IDF),66,0,1,0.5314089511511622,rent copy one netflix big mistake dvd version title onearmed swordsman produce madman think fight sequence would appreciate well paste together one big chapter part consistent sequential story story leave separate chapter select main menu dvd still mess dont rent buy not anything wonderful original story absurdly complicate piece nonsense much like see wang yu prime year one utter waste time ive dish detergent make well film choppedup dvd version show u no matter silly chinese script may see sort story care fight sequence turn outbut onearmed swordsman offer chance see wang shaw brother stalwart lo lieh beat smirk pretty boy david chiang always pleasure see happen lo play sort secondstring villain serf prime example people really need orthodontist film also grace participation taiwanese actor chang yi magistrate another comment mention obligatory fightintheinn scene two fact wang chiang attack pack comical barbarian use look like caveman weapon make bruce lee noise fight none make sense thats okay youre not expect clarity common sense fun watch anywayanother peculiarity production no significant woman character couple female role play no serious role action plotif find copy original shaw brother onearmed swordsman movie one explain one arm use broken sword go
Logistic Regression (TF-IDF),12,1,0,0.37321332791582873,time movie seem get whole lot complicate need guess thats part charm detective philo vances power observation seem great oriental sleuth era combine come final evaluation murder commit drop dagger chinese vase kicker mean couldnt somebody drop vance william powell line early film archer coes psychological impossibility kill think leave wondering there scientific basis fact concept true not study psychology seem logical there always case doesnt fit rulesyou know get kick agitate coroner etienne girardot remind star trek dr mccoy couple time state im doctor not magician im doctor not detective picture deforrest kelley watching film say ill use sometimeonce killer identity reveal doesnt seem like big surprise till really anybodys guess archer brisbane coe aside film didnt answer central question pose title murder really interested kill sir thomas macdonalds dog ghillie
Logistic Regression (TF-IDF),17,0,1,0.5389149275116233,guy tell im bulgarian cant remember many time talk american let alone dont slight clue bulgaria say thing like there war go right ive never imagine place like bulgaria people internet go watch bruce campbells man scream brain curious movie cause im bruce campbell fan evil dead trilogy adventure brisco county jr movie shot entirely location bulgaria second alien apocalypse also nearly unwatchable enjoy nice bmovieswell movie present country like neverending gypsy town raid car wave around illegal gun get kill moment bruce line bullht bulgaria offendingted raimi stacy ceach make great team bruce special beat thats nothing see herepeoeple give movie bruce cult status doesnt deserve waste film
